treatment,F_ppm,D_ppm,aquarium,t_exp_G42,t_exp_G46,wetmass_G42_mg,wetmass_G46_mg,drymass_G42_mg,drymass_G46_mg
E. 0.3D,0,0.3,20,11.0,18.0,273,194,15.288000000000014,30.458000000000006
E. 0.3D,0,0.3,20,12.0,18.0,231,157,12.93600000000001,24.649000000000004
E. 0.3D,0,0.3,20,13.0,,242,,13.552000000000012,
E. 0.3D,0,0.3,20,14.0,,216,,12.09600000000001,
E. 0.3D,0,0.3,20,14.0,,222,,12.432000000000011,
E. 0.3D,0,0.3,20,14.0,,228,,12.768000000000011,
E. 0.3D,0,0.3,20,17.0,24.0,278,167,15.568000000000014,26.219000000000005
E. 0.3D,0,0.3,32,9.0,17.0,232,156,12.992000000000012,24.492000000000004
E. 0.3D,0,0.3,32,9.0,18.0,165,153,9.240000000000009,24.021000000000004
E. 0.3D,0,0.3,32,11.0,,273,,15.288000000000014,
E. 0.3D,0,0.3,32,12.0,,350,,19.600000000000016,
E. 0.3D,0,0.3,32,12.0,18.0,378,264,21.16800000000002,41.44800000000001
E. 0.3D,0,0.3,32,13.0,18.0,228,124,12.768000000000011,19.468000000000004
E. 0.3D,0,0.3,32,13.0,18.0,176,137,9.856000000000009,21.509000000000004
E. 0.3D,0,0.3,32,14.0,,309,,17.304000000000016,
E. 0.3D,0,0.3,32,14.0,,197,,11.03200000000001,
E. 0.3D,0,0.3,32,15.0,,237,,13.272000000000013,
F. 3D,0,3.0,9,13.0,,215,,12.04000000000001,
F. 3D,0,3.0,9,14.0,22.0,339,228,18.984000000000016,35.79600000000001
F. 3D,0,3.0,9,14.0,,231,,12.93600000000001,
F. 3D,0,3.0,9,14.0,22.0,258,147,14.448000000000013,23.079000000000004
F. 3D,0,3.0,9,15.0,22.0,220,160,12.320000000000011,25.120000000000005
F. 3D,0,3.0,9,15.0,,245,,13.720000000000013,
F. 3D,0,3.0,9,15.0,,263,,14.728000000000012,
F. 3D,0,3.0,9,15.0,,220,,12.320000000000011,
F. 3D,0,3.0,9,18.0,,244,,13.664000000000012,
F. 3D,0,3.0,9,18.0,,211,,11.81600000000001,
F. 3D,0,3.0,21,14.0,21.0,210,128,11.76000000000001,20.096000000000004
F. 3D,0,3.0,21,15.0,,351,,19.656000000000017,
F. 3D,0,3.0,21,18.0,,204,,11.42400000000001,
F. 3D,0,3.0,21,18.0,,253,,14.168000000000013,
F. 3D,0,3.0,21,18.0,,290,,16.240000000000016,
F. 3D,0,3.0,21,18.0,,195,,10.920000000000009,
F. 3D,0,3.0,21,18.0,,287,,16.072000000000013,
F. 3D,0,3.0,21,20.0,,264,,14.784000000000013,
F. 3D,0,3.0,21,20.0,,291,,16.296000000000014,
F. 3D,0,3.0,21,20.0,,330,,18.480000000000018,
F. 3D,0,3.0,33,11.0,18.0,297,193,16.632000000000016,30.301000000000005
F. 3D,0,3.0,33,11.0,,312,,17.472000000000016,
F. 3D,0,3.0,33,14.0,,264,,14.784000000000013,
F. 3D,0,3.0,33,18.0,,192,,10.75200000000001,
F. 3D,0,3.0,33,18.0,,319,,17.864000000000015,
F. 3D,0,3.0,33,18.0,,279,,15.624000000000013,
F. 3D,0,3.0,33,22.0,,337,,18.872000000000018,
F. 3D,0,3.0,33,22.0,,161,,9.016000000000009,
F. 3D,0,3.0,33,24.0,,385,,21.56000000000002,
F. 3D,0,3.0,33,28.0,,289,,16.184000000000015,
G. 30D,0,30.0,10,18.0,,142,,7.952000000000007,
G. 30D,0,30.0,10,21.0,,120,,6.720000000000006,
G. 30D,0,30.0,10,25.0,,147,,8.232000000000006,
G. 30D,0,30.0,10,33.0,,142,,7.952000000000007,
G. 30D,0,30.0,10,33.0,43.0,169,77,9.46400000000001,12.089000000000002
G. 30D,0,30.0,10,34.0,,182,,10.192000000000009,
G. 30D,0,30.0,10,,,,,,
G. 30D,0,30.0,10,,,,,,
G. 30D,0,30.0,10,,,,,,
G. 30D,0,30.0,10,,,,,,
G. 30D,0,30.0,22,41.0,,230,,12.880000000000011,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,22,,,,,,
G. 30D,0,30.0,34,22.0,,101,,5.656000000000005,
G. 30D,0,30.0,34,22.0,,121,,6.776000000000006,
G. 30D,0,30.0,34,25.0,,133,,7.448000000000007,
G. 30D,0,30.0,34,28.0,,145,,8.120000000000008,
G. 30D,0,30.0,34,28.0,36.0,150,91,8.400000000000007,14.287000000000003
G. 30D,0,30.0,34,39.0,,257,,14.392000000000014,
G. 30D,0,30.0,34,,,,,,
G. 30D,0,30.0,34,,,,,,
G. 30D,0,30.0,34,,,,,,
