replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
9,0.0,uninfected,1,41.0,47.0,6.0,261.6111779854846,125.36779064881277,6
10,0.0,uninfected,1,40.0,45.0,5.0,260.81682421723303,132.6707787176624,6
1,0.0,uninfected,1,36.0,41.0,5.0,265.75390133876203,152.19122858278772,7
2,0.0,uninfected,1,38.0,44.0,6.0,263.974813761005,123.88728639813002,7
3,0.0,uninfected,1,36.0,41.0,5.0,265.72041055508146,159.41809996123382,7
4,0.0,uninfected,1,40.0,46.0,6.0,262.33352893820927,116.51432158427173,7
5,0.0,uninfected,1,42.0,48.0,6.0,260.6905550105349,118.53381673110475,7
6,0.0,uninfected,1,42.0,47.0,5.0,259.7572615900654,141.65994144550947,7
7,0.0,uninfected,1,40.0,45.0,5.0,261.5007080505702,139.96799094806929,7
8,0.0,uninfected,1,47.0,53.0,6.0,256.3054346049807,115.66919199874081,7
9,0.0,uninfected,1,37.0,42.0,5.0,263.7089079580565,129.96997331441398,7
10,0.0,uninfected,1,42.0,47.0,5.0,259.06377558867035,134.90343374755975,7
1,0.0,uninfected,1,46.0,51.0,5.0,254.5812061573248,130.53863768270563,8
2,0.0,uninfected,1,39.0,44.0,5.0,262.22005204607746,136.69286020588385,8
3,0.0,uninfected,1,38.0,44.0,6.0,263.9505526486785,125.71450471297595,8
4,0.0,uninfected,1,35.0,40.0,5.0,266.65074937805844,149.30143929229803,8
5,0.0,uninfected,1,35.0,40.0,5.0,266.61576613558213,156.89546194670515,8
6,0.0,uninfected,1,44.0,49.0,5.0,257.8613803899502,141.17281677658363,8
7,0.0,uninfected,1,47.0,53.0,6.0,256.5747644645377,119.53594698058869,8
8,0.0,uninfected,1,38.0,43.0,5.0,263.5236459239811,141.2511935831642,8
9,0.0,uninfected,1,43.0,48.0,5.0,258.5235622205308,138.6410758810949,8
10,0.0,uninfected,1,39.0,44.0,5.0,261.7685365679009,131.83912077658078,8
1,0.0,uninfected,1,42.0,47.0,5.0,260.2471526468076,148.09506477410562,9
2,0.0,uninfected,1,33.0,38.0,5.0,268.51753271544425,149.4461845833228,9
3,0.0,uninfected,1,40.0,46.0,6.0,262.35229700154594,117.7000501578431,9
4,0.0,uninfected,1,53.0,59.0,6.0,252.81879608996618,122.96237981800161,9
5,0.0,uninfected,1,45.0,50.0,5.0,257.2467524403747,143.8678416476874,9
6,0.0,uninfected,1,35.0,40.0,5.0,266.5018800255791,141.72330935235635,9
7,0.0,uninfected,1,37.0,43.0,6.0,264.79257107760634,123.283880714032,9
8,0.0,uninfected,1,41.0,46.0,5.0,261.1686136446022,148.8263626005326,9
9,0.0,uninfected,1,35.0,40.0,5.0,266.5296741639229,142.6807953433259,9
10,0.0,uninfected,1,37.0,42.0,5.0,264.7787543901401,148.41886519300647,9
1,0.0,uninfected,1,42.0,48.0,6.0,260.76083522673696,121.47459372551603,10
2,0.0,uninfected,1,38.0,44.0,6.0,263.9863579330221,123.9467160073581,10
3,0.0,uninfected,1,37.0,43.0,6.0,264.8249505941447,121.61042642564531,10
4,0.0,uninfected,1,39.0,44.0,5.0,262.76194379318986,144.5846695448874,10
5,0.0,uninfected,1,42.0,47.0,5.0,259.0560911598468,134.7796135011782,10
6,0.0,uninfected,1,40.0,46.0,6.0,262.375076065755,118.87602973050508,10
7,0.0,uninfected,1,33.0,38.0,5.0,268.52626912765265,148.5496532147205,10
8,0.0,uninfected,1,40.0,46.0,6.0,262.40426212561977,123.75803415251288,10
9,0.0,uninfected,1,39.0,45.0,6.0,263.206517175651,119.24574979888158,10
10,0.0,uninfected,1,44.0,50.0,6.0,259.08229446206445,120.34163635307752,10
1,0.0,uninfected,1,42.0,48.0,6.0,260.59463179413586,115.8220523808435,11
2,0.0,uninfected,1,42.0,47.0,5.0,258.5581301066674,130.77999171857638,11
3,0.0,uninfected,1,47.0,52.0,5.0,255.46174769124053,143.65076302116353,11
4,0.0,uninfected,1,39.0,44.0,5.0,261.8060367513426,132.26400949013308,11
5,0.0,uninfected,1,39.0,44.0,5.0,262.84375497928806,146.06280245519608,11
6,0.0,uninfected,1,33.0,38.0,5.0,268.0189017682727,164.57106655478108,11
7,0.0,uninfected,1,36.0,41.0,5.0,265.72216733193727,158.3866509210082,11
8,0.0,uninfected,1,35.0,40.0,5.0,265.5298357415131,125.38076331989762,11
9,0.0,uninfected,1,38.0,43.0,5.0,263.5098565353882,140.89204483015268,11
10,0.0,uninfected,1,42.0,47.0,5.0,258.89327141608527,133.40231201471613,11
1,0.0,uninfected,1,39.0,45.0,6.0,263.1711184042483,126.16584475054395,12
2,0.0,uninfected,1,41.0,47.0,6.0,261.60399666740255,124.44450599198652,12
3,0.0,uninfected,1,37.0,42.0,5.0,264.87292710928995,159.88097381470965,12
4,0.0,uninfected,1,41.0,47.0,6.0,261.5910806991461,122.4117032764007,12
5,0.0,uninfected,1,49.0,55.0,6.0,255.24376193366496,124.08028851647678,12
6,0.0,uninfected,1,42.0,47.0,5.0,260.15041836723844,146.77887972011501,12
7,0.0,uninfected,1,42.0,47.0,5.0,260.04288494142554,145.184975467557,12
8,0.0,uninfected,1,38.0,43.0,5.0,263.79596256329296,146.74128015146144,12
9,0.0,uninfected,1,37.0,42.0,5.0,264.513562081494,141.55479419886012,12
10,0.0,uninfected,1,42.0,47.0,5.0,260.29590811911316,149.00427597784753,12
1,0.0,uninfected,1,38.0,43.0,5.0,263.3833064345704,138.87332591093198,13
2,0.0,uninfected,1,37.0,42.0,5.0,263.9540189409615,132.80225972076965,13
3,0.0,uninfected,1,40.0,45.0,5.0,261.21063866594426,136.61012735655234,13
4,0.0,uninfected,1,40.0,45.0,5.0,262.08138744960235,149.24868831341618,13
5,0.0,uninfected,1,35.0,40.0,5.0,266.48065811017847,141.0066788790792,13
6,0.0,uninfected,1,40.0,45.0,5.0,262.28073854855336,154.31745887787622,13
7,0.0,uninfected,1,40.0,46.0,6.0,262.3613309289436,118.78350031028258,13
8,0.0,uninfected,1,37.0,42.0,5.0,263.85829704711784,131.70375000381998,13
9,0.0,uninfected,1,37.0,42.0,5.0,263.7477035383393,130.36873923696888,13
10,0.0,uninfected,1,40.0,45.0,5.0,260.30896051017413,128.19538009677902,13
1,0.0,uninfected,1,35.0,40.0,5.0,266.6558349480119,153.44013977599494,14
2,0.0,uninfected,1,41.0,47.0,6.0,261.59867264507227,122.93231424398121,14
3,0.0,uninfected,1,37.0,42.0,5.0,264.88387779941223,158.0119908775113,14
4,0.0,uninfected,1,42.0,47.0,5.0,259.1256343884357,135.3797336704161,14
5,0.0,uninfected,1,35.0,40.0,5.0,266.46219356920136,162.9009357460976,14
6,0.0,uninfected,1,41.0,46.0,5.0,261.1349999484625,148.0556468217685,14
7,0.0,uninfected,1,40.0,46.0,6.0,262.3905504792218,126.44730092342053,14
8,0.0,uninfected,1,42.0,47.0,5.0,260.2515031277496,148.281502960017,14
9,0.0,uninfected,1,41.0,47.0,6.0,261.429531751543,115.19504503625573,14
10,0.0,uninfected,1,43.0,49.0,6.0,259.79866323645234,117.31406472550569,14
1,0.0,uninfected,1,42.0,47.0,5.0,259.90310944492524,143.44326477025552,15
2,0.0,uninfected,1,45.0,50.0,5.0,256.87074397874096,140.42432253650844,15
3,0.0,uninfected,1,39.0,44.0,5.0,261.7670259773888,131.81481232538633,15
4,0.0,uninfected,1,41.0,47.0,6.0,261.60567861898005,126.38035536824323,15
5,0.0,uninfected,1,31.0,36.0,5.0,270.5231405532625,136.34501292362035,15
6,0.0,uninfected,1,40.0,46.0,6.0,262.38473160920404,120.32275650928564,15
