replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
6,0.0,uninfected,2,25.0,26.0,1.0,175.27171472955243,171.61396674911555,4
6,0.03,uninfected,2,0.0,3.0,3.0,171.61396674911555,109.41039495692338,4
7,0.0,uninfected,2,25.0,26.0,1.0,175.29693858445566,170.91241588665238,4
7,0.03,uninfected,2,0.0,3.0,3.0,170.91241588665238,106.33041146555352,4
8,0.0,uninfected,2,24.0,26.0,2.0,173.83562303324976,169.90663121819446,4
8,0.03,uninfected,2,0.0,3.0,3.0,169.90663121819446,102.36184675021852,4
9,0.0,uninfected,2,25.0,26.0,1.0,175.29656737540316,170.90768061204324,4
9,0.03,uninfected,2,0.0,3.0,3.0,170.90768061204324,106.31187909345425,4
10,0.0,uninfected,2,25.0,26.0,1.0,175.2744657996216,170.19957286251562,4
10,0.03,uninfected,2,0.0,3.0,3.0,170.19957286251562,103.46974334009577,4
1,0.0,uninfected,3,25.0,26.0,1.0,175.26204191432657,171.71297194997737,4
1,0.3,uninfected,3,0.0,3.0,3.0,171.71297194997737,109.87672295939767,4
2,0.0,uninfected,3,24.0,26.0,2.0,173.88973849224527,169.78663453952245,4
2,0.3,uninfected,3,0.0,3.0,3.0,169.78663453952245,101.91949020283572,4
3,0.0,uninfected,3,25.0,26.0,1.0,175.27011346608197,170.14792653937803,4
3,0.3,uninfected,3,0.0,3.0,3.0,170.14792653937803,103.27504589164984,4
4,0.0,uninfected,3,25.0,26.0,1.0,175.29399222482255,170.81965065448688,4
4,0.3,uninfected,3,0.0,3.0,3.0,170.81965065448688,105.95297430753666,4
5,0.0,uninfected,3,25.0,26.0,1.0,175.2958567129339,171.15732947838697,4
5,0.3,uninfected,3,0.0,3.0,3.0,171.15732947838697,107.36595876883237,4
6,0.0,uninfected,3,25.0,26.0,1.0,175.27763940221817,170.2669942427126,4
6,0.3,uninfected,3,0.0,3.0,3.0,170.2669942427126,103.73294410507387,4
7,0.0,uninfected,3,25.0,26.0,1.0,175.29090571370884,171.28917858123887,4
7,0.3,uninfected,3,0.0,3.0,3.0,171.28917858123887,107.94403042244781,4
8,0.0,uninfected,3,25.0,26.0,1.0,175.28771775428038,170.48527361646438,4
8,0.3,uninfected,3,0.0,3.0,3.0,170.48527361646438,104.59090051213518,4
9,0.0,uninfected,3,25.0,26.0,1.0,175.300580646425,170.98403241618388,4
9,0.3,uninfected,3,0.0,3.0,3.0,170.98403241618388,106.61813155550453,4
10,0.0,uninfected,3,25.0,26.0,1.0,175.29414128180946,170.83797304042628,4
10,0.3,uninfected,3,0.0,3.0,3.0,170.83797304042628,106.02889408626136,4
1,0.0,uninfected,1,25.0,29.0,4.0,175.2980215886545,106.3445992538103,5
2,0.0,uninfected,1,25.0,29.0,4.0,175.27692717891813,103.81376517290866,5
3,0.0,uninfected,1,25.0,29.0,4.0,175.2723341591007,103.32187626351325,5
4,0.0,uninfected,1,25.0,29.0,4.0,175.29062027734966,105.16163198442793,5
5,0.0,uninfected,1,25.0,29.0,4.0,175.2929709787144,104.72927255531032,5
6,0.0,uninfected,1,24.0,29.0,5.0,173.85910983904023,102.20198681723869,5
7,0.0,uninfected,1,24.0,29.0,5.0,173.86676944865613,102.02252465662583,5
8,0.0,uninfected,1,24.0,29.0,5.0,173.92615403941187,101.64183532788012,5
9,0.0,uninfected,1,25.0,29.0,4.0,175.2662754734748,103.09442579421258,5
10,0.0,uninfected,1,25.0,29.0,4.0,175.29342140528217,105.13641387443438,5
1,0.0,uninfected,2,25.0,26.0,1.0,175.25096105931956,171.74761720119045,5
1,0.03,uninfected,2,0.0,3.0,3.0,171.74761720119045,110.06856515409868,5
2,0.0,uninfected,2,25.0,26.0,1.0,175.27420191322042,170.25219195066848,5
2,0.03,uninfected,2,0.0,3.0,3.0,170.25219195066848,103.68428946266891,5
3,0.0,uninfected,2,25.0,26.0,1.0,175.27531097856163,170.22557774486202,5
3,0.03,uninfected,2,0.0,3.0,3.0,170.22557774486202,103.5724407695522,5
4,0.0,uninfected,2,25.0,26.0,1.0,175.25346572304554,171.7837167533109,5
4,0.03,uninfected,2,0.0,3.0,3.0,171.7837167533109,110.21734624088775,5
5,0.0,uninfected,2,25.0,26.0,1.0,175.1653957999638,172.38650030914496,5
5,0.03,uninfected,2,0.0,3.0,3.0,172.38650030914496,113.23904500582186,5
6,0.0,uninfected,2,25.0,26.0,1.0,175.26156131195404,170.1518562520659,5
6,0.03,uninfected,2,0.0,3.0,3.0,170.1518562520659,103.31951444999197,5
7,0.0,uninfected,2,25.0,26.0,1.0,175.2727158528036,170.21460134574906,5
7,0.03,uninfected,2,0.0,3.0,3.0,170.21460134574906,103.53657326163732,5
8,0.0,uninfected,2,25.0,26.0,1.0,175.26795557399075,171.63556316730927,5
