replicate,C_W_1,treatment_bd,treatment_id,t_exp_G42,t_exp_G46,dt_mt,wetmass_G42_mg,wetmass_G46_mg,num_sample
2,0.3,uninfected,3,0.0,3.0,3.0,171.92927729354528,110.91723616688955,4
3,0.0,uninfected,3,25.0,26.0,1.0,175.28707140436646,171.4100693428954,4
3,0.3,uninfected,3,0.0,3.0,3.0,171.4100693428954,108.47504977989968,4
4,0.0,uninfected,3,25.0,26.0,1.0,175.27875499798492,170.29616560626897,4
4,0.3,uninfected,3,0.0,3.0,3.0,170.29616560626897,103.84792865245855,4
5,0.0,uninfected,3,25.0,26.0,1.0,175.29477786101214,171.12093976559456,4
5,0.3,uninfected,3,0.0,3.0,3.0,171.12093976559456,107.2156575255638,4
6,0.0,uninfected,3,25.0,26.0,1.0,175.27305981649494,170.23248609776732,4
6,0.3,uninfected,3,0.0,3.0,3.0,170.23248609776732,103.60803373187416,4
7,0.0,uninfected,3,24.0,26.0,2.0,173.84471823022332,169.8866794267816,4
7,0.3,uninfected,3,0.0,3.0,3.0,169.8866794267816,102.28790280142236,4
8,0.0,uninfected,3,25.0,26.0,1.0,175.2805047546932,171.39413947308935,4
8,0.3,uninfected,3,0.0,3.0,3.0,171.39413947308935,108.43016604632687,4
9,0.0,uninfected,3,25.0,26.0,1.0,175.27050988390278,170.13830509651555,4
9,0.3,uninfected,3,0.0,3.0,3.0,170.13830509651555,103.23479605778536,4
10,0.0,uninfected,3,25.0,26.0,1.0,175.28307401600554,171.2631074354307,4
10,0.3,uninfected,3,0.0,3.0,3.0,171.2631074354307,107.86064141743844,4
1,0.0,uninfected,1,25.0,29.0,4.0,175.2858575829556,104.56375151592455,5
2,0.0,uninfected,1,25.0,29.0,4.0,174.94977411791868,117.49555810548102,5
3,0.0,uninfected,1,25.0,29.0,4.0,175.255756584126,109.92654694489599,5
4,0.0,uninfected,1,24.0,29.0,5.0,173.8822530350246,102.02338068426039,5
5,0.0,uninfected,1,25.0,29.0,4.0,175.27604662985198,109.25446113978882,5
6,0.0,uninfected,1,25.0,29.0,4.0,175.29526136011586,105.20662710547488,5
7,0.0,uninfected,1,25.0,29.0,4.0,175.2761186287794,109.05123386689604,5
8,0.0,uninfected,1,25.0,29.0,4.0,175.2792699485248,103.89185686052473,5
9,0.0,uninfected,1,25.0,29.0,4.0,175.26094002836646,102.67302681416948,5
10,0.0,uninfected,1,25.0,29.0,4.0,175.2849937862917,104.33403330692711,5
1,0.0,uninfected,2,25.0,26.0,1.0,175.28469547537506,171.31034102199146,5
1,0.03,uninfected,2,0.0,3.0,3.0,171.31034102199146,108.05645510631605,5
2,0.0,uninfected,2,25.0,26.0,1.0,175.25534952287146,169.9363629397576,5
2,0.03,uninfected,2,0.0,3.0,3.0,169.9363629397576,102.47159978128893,5
